t (s),V (mV)
0,9.7854
1.05,9.7651
2.1,9.7446
3.122,9.7231
4.122,9.7039
5.122,9.6842
6.122,9.6646
7.122,9.6453
8.122,9.6116
9.122,9.6067
10.122,9.5876
11.122,9.5687
12.122,9.5504
13.122,9.5314
14.122,9.5132
15.122,9.4938
16.121,9.4746
17.122,9.456
18.121,9.438
19.122,9.4188
20.121,9.4
21.121,9.3814
22.121,9.363
23.121,9.3443
24.121,9.326
25.122,9.3072
26.122,9.2897
27.122,9.2709
28.122,9.2525
29.121,9.2348
30.122,9.2164
31.122,9.1967
32.122,9.1795
33.121,9.1606
34.122,9.1417
35.122,9.1238
36.122,9.1058
37.122,9.0877
38.122,9.0687
39.121,9.0509
40.122,9.033
41.122,9.0139
42.122,8.9959
43.121,8.9782
44.121,8.9609
45.121,8.9432
46.121,8.9253
47.121,8.9069
48.121,8.8899
49.121,8.8721
50.121,8.8546
51.122,8.8365
52.122,8.819
53.121,8.8016
54.121,8.7847
55.122,8.7674
56.121,8.7495
57.122,8.7319
58.122,8.7137
59.121,8.6971
60.122,8.6796
61.122,8.6625
62.122,8.6458
63.121,8.6282
64.122,8.6117
65.122,8.5942
66.122,8.5786
67.122,8.5613
68.121,8.5445
69.121,8.5277
70.122,8.5107
71.122,8.4956
72.122,8.4784
73.122,8.4627
74.122,8.4453
75.122,8.4292
76.122,8.4122
77.122,8.3957
78.121,8.3793
79.122,8.3638
80.122,8.3479
81.122,8.3314
82.122,8.3152
83.121,8.2994
84.122,8.2833
85.122,8.2668
86.122,8.2514
87.122,8.2341
88.122,8.218
89.122,8.2024
90.122,8.1851
91.121,8.1689
92.122,8.1532
93.121,8.1364
94.122,8.1204
95.121,8.1039
96.122,8.0881
97.121,8.0725
98.122,8.0564
99.122,8.04
100.122,8.0238
101.122,8.0091
102.122,7.9918
103.122,7.9755
104.122,7.9598
105.121,7.9439
106.122,7.929
107.122,7.9136
108.121,7.8978
109.122,7.8832
110.122,7.8677
111.122,7.8532
112.122,7.8395
113.121,7.8233
114.122,7.8089
115.122,7.7943
116.122,7.7786
117.122,7.7644
118.122,7.7494
119.121,7.7347
120.121,7.7196
121.122,7.7056
122.122,7.6912
123.121,7.676
124.122,7.6613
125.121,7.6468
126.122,7.6327
127.122,7.6177
128.122,7.6031
129.121,7.5887
130.122,7.5739
131.122,7.5591
132.122,7.5451
133.122,7.5301
134.121,7.515
135.122,7.5
136.122,7.4851
137.122,7.47
138.122,7.4558
139.122,7.4416
140.122,7.4279
141.122,7.4125
142.121,7.3982
143.122,7.3842
144.121,7.37
145.122,7.3553
146.122,7.3409
147.122,7.3268
148.122,7.3123
149.122,7.2982
150.122,7.2846
151.122,7.2708
152.122,7.2573
153.122,7.2436
154.122,7.2295
155.122,7.2164
156.122,7.2035
157.122,7.1903
158.121,7.1759
159.122,7.1616
160.122,7.149
161.121,7.1353
162.122,7.1232
163.122,7.1095
164.121,7.0957
165.122,7.082
166.121,7.0686
167.122,7.0559
168.122,7.0427
169.121,7.0291
170.122,7.0166
171.121,7.0037
172.122,6.9899
173.122,6.9774
174.121,6.9638
175.122,6.9513
176.121,6.9372
177.121,6.925
178.122,6.912
179.122,6.8985
180.122,6.8854
181.121,6.8727
182.122,6.8584
183.122,6.8452
184.122,6.8317
185.122,6.8186
186.121,6.806
187.122,6.7932
188.122,6.7796
189.121,6.7669
190.122,6.7533
191.121,6.7408
192.121,6.728
193.121,6.7155
194.121,6.7022
195.121,6.6893
196.122,6.676
197.121,6.6639
198.121,6.651
199.121,6.6383
200.121,6.626
201.121,6.6147
202.121,6.6025
203.121,6.5896
204.121,6.5776
205.121,6.5663
206.121,6.5538
207.121,6.5412
208.122,6.529
209.121,6.5179
210.121,6.505
211.121,6.4934
212.121,6.4815
213.121,6.4698
214.121,6.4576
215.121,6.4453
216.121,6.4328
217.121,6.421
218.121,6.4095
219.122,6.3957
220.122,6.3835
221.122,6.3718
222.121,6.3613
223.121,6.3475
224.121,6.3328
225.121,6.3198
226.121,6.3088
227.121,6.2983
228.121,6.2877
229.121,6.2741
230.121,6.2614
